stock_code,company_name,TSMC概念,nVidia概念,Broadcom概念,Google概念,Amazon概念,Meta概念,OpenAI概念,Microsoft概念,AMD概念,Apple概念,Oracle概念,Micro概念,SanDisk概念,Qualcomm概念,Lenovo概念,Dell概念,HPQ概念,HPE概念
2308,台達電,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
2317,鴻海,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
2324,仁寶,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
2330,台積電,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
2347,聯強,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
2354,鴻準,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
2356,英業達,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
2357,華碩,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2376,技嘉,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2377,微星,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2379,瑞昱,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0
2382,廣達,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
2395,研華,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2405,輔信,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2412,中華電,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2451,創見,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
2454,聯發科,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
2458,義隆,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2474,可成,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2480,敦陽科,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
3022,威強電,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3026,禾伸堂,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
3034,聯詠,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
3045,台灣大,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3048,益登,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3231,緯創,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
3356,奇偶,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4938,和碩,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
5203,訊連,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6214,精誠,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
6285,啟碁,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0
6462,神盾,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
8272,全景軟體,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8299,群聯,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
5434,崇越,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6526,達發,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,光寶科,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
3035,智原,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
5269,祥碩,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
6669,緯穎,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
6561,是方,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
