概念欄位,公司名稱,Ticker,CIK,最新財季,產品區段
nVidia概念,NVIDIA Corporation,NVDA,0001045810,FY2027 Q1,"Data Center, Gaming, Automotive, Professional Visualization"
Google概念,Alphabet Inc.,GOOGL,0001652044,FY2026 Q1,"Google Cloud, Google Services"
Amazon概念,Amazon.com Inc.,AMZN,0001018724,FY2026 Q1,"AWS, North America, International"
Meta概念,Meta Platforms Inc.,META,0001326801,FY2026 Q1,"Family of Apps, Reality Labs"
OpenAI概念,OpenAI,-,私人公司,-,-
Microsoft概念,Microsoft Corporation,MSFT,0000789019,FY2026 Q3,"Intelligent Cloud, More Personal Computing, PBP"
AMD概念,Advanced Micro Devices,AMD,0000002488,FY2026 Q1,"Data Center, Client, Gaming, Embedded"
Apple概念,Apple Inc.,AAPL,0000320193,FY2026 Q2,"iPhone, Mac, iPad, Services, Wearables"
Oracle概念,Oracle Corporation,ORCL,0001341439,FY2026 Q3,"Cloud services, Hardware, Services"
Micro概念,Micron Technology,MU,0000723125,FY2026 Q2,"Cloud Memory, Mobile and Client, Core Data Center"
SanDisk概念,Western Digital,WDC,0000106040,FY2026 Q3,"Cloud, Client, Consumer, Flash, HDD"
Qualcomm概念,Qualcomm Inc.,QCOM,0000804328,FY2026 Q2,"Handsets, IoT, Licensing, Automotive"
Lenovo概念,Lenovo Group,0992.HK,香港上市,FY2026 Q4,-
Dell概念,Dell Technologies,DELL,0001571996,FY2027 Q1,"Servers and networking, Storage"
HP概念,HP Inc.,HPQ,0000047217,FY2026 Q1,-
