symbol,company_name,fiscal_year,end_date,period,total_revenue,gross_profit,cost_of_revenue,operating_expenses,research_and_development,selling_and_marketing,general_and_administrative,amortization,operating_income,other_income,income_before_tax,tax,net_income,eps,non_gaap_eps,eps_estimate,eps_surprise_pct,rpo,capex,gross_margin,operating_margin,net_margin,revenue_yoy_pct,currency,source,validation_status,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp
AAPL,Apple Inc.,2005,2005-12-31,Q4,5749000000.0,1564000000.0,,,,,,,750000000.0,,,,565000000.0,,,,,,,0.2720473125761002,0.1304574708644982,0.0982779613845886,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-02-09 12:28:49.166340
AAPL,Apple Inc.,2006,2006-09-30,FY,19315000000.0,5598000000.0,,,,,,,2453000000.0,,,,1989000000.0,,,,,,,0.2898265596686513,0.1269997411338338,0.1029769609112089,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2006,2006-03-31,Q1,4359000000.0,1297000000.0,,,,,,,529000000.0,,,,410000000.0,,,,,,,0.2975453085570085,0.1213581096581784,0.0940582702454691,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2006,2006-06-30,Q2,4370000000.0,1325000000.0,,,,,,,566000000.0,,,,472000000.0,,,,,,,0.3032036613272311,0.1295194508009153,0.1080091533180778,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2006,2006-09-30,Q3,4370000000.0,1412000000.0,,,,,,,608000000.0,,,,542000000.0,,,,,,,0.323112128146453,0.1391304347826087,0.1240274599542334,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2006,2006-12-31,Q4,7115000000.0,2220000000.0,,,,,,,1322000000.0,,,,1004000000.0,,,,,,,0.3120168657765285,0.1858046380885453,0.1411103302881236,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2007,2007-09-30,FY,24006000000.0,8154000000.0,,,,,,,4409000000.0,,,,3495000000.0,,,,,,,0.3396650837290677,0.1836624177289011,0.1455886028492876,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2007,2007-03-31,Q1,5264000000.0,1849000000.0,,,,,,,986000000.0,,,,770000000.0,,,,,,,0.3512537993920973,0.1873100303951367,0.1462765957446808,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2007,2007-06-30,Q2,5410000000.0,1995000000.0,,,,,,,1041000000.0,,,,818000000.0,,,,,,,0.3687615526802218,0.1924214417744917,0.1512014787430683,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2007,2007-09-30,Q3,6217000000.0,2090000000.0,,,,,,,1060000000.0,,,,904000000.0,,,,,,,0.3361750040212321,0.1705002412739263,0.1454077529354994,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2007,2007-12-31,Q4,9608000000.0,3332000000.0,,,,,,,2126000000.0,,,,1581000000.0,,,,,,,0.3467943380516236,0.2212739383846794,0.1645503746877602,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2008,2008-09-30,FY,32479000000.0,11145000000.0,,,,,,,6275000000.0,,,,4834000000.0,,,,,,,0.3431448012561963,0.193201761137966,0.148834631608116,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2008,2008-03-31,Q1,7512000000.0,2474000000.0,,,,,,,1315000000.0,,,,1045000000.0,,,,,,,0.3293397231096912,0.1750532481363152,0.1391107561235356,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2008,2008-06-30,Q2,7464000000.0,2600000000.0,,,,,,,1392000000.0,,,,1072000000.0,,,,,,,0.3483386923901393,0.1864951768488746,0.1436227224008574,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
AAPL,Apple Inc.,2008,2008-09-30,Q3,7895000000.0,2739000000.0,,,,,,,1442000000.0,,,,1136000000.0,,,,,,,0.3469284357188094,0.1826472450918302,0.143888537048765,,USD,AlphaVantage,,INCOME_STATEMENT,https://www.alphavantage.co/query?function=INCOME_STATEMENT&symbol=AAPL&apikey=***MASKED***,True,2026-07-01 15:28:57,2026-07-01 15:28:57,2026-05-15 02:12:03.306541
